lower_edge,code
0.0003512512,0000000000
0.000506086,00000000100
0.0005563027,000000001100
-0.001502581,00000000111000
-0.001414702,00000000111010
-0.001305899,00000000111100
-0.001280791,00000000111110
0.0002215248,000000010
1.647338e-05,00000010
5.832061e-05,00000100
-7.14058e-05,00000110
4.995117e-05,00001000
5.413589e-05,00001010
-4.211274e-05,00001100
-0.0001927628,00001110
-0.0002178711,00010000
0.0004809776,00010010000
0.001259336,00010010010000
-0.001828989,000100100100100
-0.001707632,000100100100110
0.001556451,000100100101000
0.001560636,000100100101010
0.001748948,000100100101100
0.003707398,00010010010111000
-0.006147624,00010010010111010
-0.002439959,0001001001011110
-0.001063185,0001001001100
0.001033361,0001001001110
-0.0004773239,0001001010
0.0002089706,000100110
-0.0002095017,00010100
-0.0006614517,00010110000
-0.0009669365,0001011001000
0.000928743,0001011001010
0.0009664055,0001011001100
-0.001469103,00010110011100
-0.001151064,00010110011110
0.0005186402,00010110100
-0.0008832421,000101101100
0.001363954,00010110111000
0.001405801,00010110111010
0.0009622208,0001011011110
-0.0002513489,000101110
3.7397e-05,00011000
-0.0001969475,00011010
-0.0002053169,00011100
-0.0003350434,000111100
0.0002550026,0001111100
-0.0008665032,000111111000
0.001004068,0001111110100
0.001238412,00011111101100
0.001292814,00011111101110
0.001393247,00011111110000
0.001464387,000111111100100
-0.001808066,000111111100110
-0.00174948,000111111101000
-0.001703448,000111111101010
-0.001695078,000111111101100
-0.001682524,000111111101110
-0.001657416,000111111110000
-0.001653231,000111111110010
0.001602483,000111111110100
0.001627591,000111111110110
0.001681993,000111111111000
0.001782426,000111111111010
0.001974923,000111111111100
-0.002356265,0001111111111100
-0.002301863,0001111111111110
1.228866e-05,00100000
2.902755e-05,00100010
-0.002080073,0010010000000000
-0.002025671,0010010000000010
-0.001975455,0010010000000100
-0.001962901,0010010000000110
-0.001879206,0010010000001000
-0.001795512,0010010000001010
0.001937261,0010010000001100
0.001966554,0010010000001110
0.002150682,0010010000010000
-0.00385858,00100100000100100
-0.00362842,00100100000100110
-0.003611681,00100100000101000
-0.00340663,00100100000101010
-0.003402445,00100100000101100
-0.003368967,00100100000101110
-0.003318751,00100100000110000
